Task,Answer,a,b,c,d,comment,topic,level,tags,deck
Mike is a person ________ always does his best.,2,which,who,whose,whom,"We use 'who' for people in relative clauses. You can also use ‘that’ (instead of who), but you can't use ‘which’ for people.",relative clauses,1, 13 ,1200 Grammer Tests
Bob has some trouble ______ his car.,1,with,at,of,to,We should remember that some nouns are used with specific prepositions after them: 'to have trouble with'.,noun pluse preposition,1, 14 ,1200 Grammer Tests
I will wait for you _____ the car. It's raining heavily.,4,onto,at,into,in,Preposition of place 'in' means 'inside'.,prepositions,1, 15 ,1200 Grammer Tests
Macy is very proud ___ her little daughter.,3,with,for,of,about,We should remember that some adjectives are used with specific prepositions after them: 'proud of'.,adjective pluse preposition,1, 16 ,1200 Grammer Tests
I see two _______ on the table.,2,boxs,boxes,boxies,box,"The suffix ‘es’ is added to nouns ending in ’s, sh, ch, x and z’.",nouns,1, 17 ,1200 Grammer Tests
There is _______ coffee on the shelf.,4,many,a few,any,some,We use 'some' in positive sentences and 'any' in negative ones before countable or uncountable nouns. 'Many' and 'a few' are used before plural countable nouns,"some,any, a lot of , many , much ,etc..",1, 18 ,1200 Grammer Tests
"If you ______ (to study) hard, you ______ (to pass) the exam.",2,will study/pass,study/will pass,will study/will pass,study/pass,"When we speak about probable situations in the present or future we use Conditional 1: If-clause (if + Present Simple) - Main Clause (future/modal + present without 'to') or If-clause (if + Present Simple) - Main Clause (future + HAVE TO, OUGHT TO, BE TO + present without 'to').",conditionals,1, 19 ,1200 Grammer Tests
"""Tom said: """"I work every day"""".""",3,Tom said that he was working every day.,Tom said that he had worked every day.,Tom said that he worked every day.,Tom said that he would work every day.,We change the Present Simple to the Past Simple in Reported Speech.,reported speech,1, 20 ,1200 Grammer Tests
Choose the sentence with the right word order,1,I think you should never put this T-shirt on.,I think you never should put this T-shirt on.,I think you should put this T-shirt never on.,I think you should put never this T-shirt on.,The adverb always goes after the auxiliary verb. The adverb 'never' must be placed after the auxiliary verb 'should'.,word order,1, 21 ,1200 Grammer Tests
We have got only __ hour to do this task.,2,a,an,the,—,"We use articles 'a/an' to show the quantity - only one. 'An' is used before words starting with sounds [a], [e], [i], [o], [u].",articles,1, 22 ,1200 Grammer Tests
Jill _________ (to work) in a hospital.,2,is working,works,work,has worked,"When we talk about things in general, permanent situations and states or things which happen sometimes, we use the Present Simple Tense: he/she/it + Verb + -s(es)",present tenses,1, 23 ,1200 Grammer Tests
We were strolling in the park when suddenly it _________ (to thunder).,3,was thundering,had thundered,thundered,thunders,"The first action was in progress when suddenly the second one happened in the middle of the first action. For the action that was in progress we use the Past Continuous Tense, the action that occurred in the middle of the first one we should use the Past Simple Tense.",past tenses,1, 24 ,1200 Grammer Tests
Jim has invited us to his birthday party. He _________ (to be) 27 next week.,2,shall be,will be,is going to be,is,We use the Future Simple Tense when we talk about actions which will certainly happen in the future and which we cannot control.,future tenses,1, 25 ,1200 Grammer Tests
"""The book """"Pickwick Papers"""" _____________ (to write) by Charles Dickens in 1836.""",4,was write,wrote,is written,was written,"Sometimes we need to change a sentence from the Active Voice into the Passive Voice. We can also know a person who carries out the action. In this case we use the Passive Voice and form a sentence according to this rule: Subject - Be + Past Participle - Preposition 'BY' - Agent (who or what carries out the action). Also, we should use the Past Simple Passive Voice in this sentence.",passive voice,1, 26 ,1200 Grammer Tests
"________ you open the window, please?",1,Could,Should,Must,Might,We use the modal verb 'could' when we ask somebody to do something politely.,modal verbs,1, 27 ,1200 Grammer Tests
"Hey, Jerry, ______________ (to be careful)! The floor is wet!",3,look in,look forward to,look out,look after,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to look out' means 'to be careful'.",phrasal verbs,1, 28 ,1200 Grammer Tests
Choose two forms of the verb 'to become' according to the order: Past Simple - Past Participle,1,became - become,become - became,become - become,became - became,TO BECOME - BECAME - BECOME,irragular verbs,1, 29 ,1200 Grammer Tests
May I take __________ umbrella?,4,you're,yours,you,your,We use possessive adjectives to show that something belongs to somebody. Possessive adjectives are always followed by a noun.'Your' is the right form of the personal pronoun 'you'.,pronouns,1, 30 ,1200 Grammer Tests
Rick wants to marry Cindy. He gave her a beautiful _____ ring. (The ring made of gold),4,goldful,goldy,golden,gold,"Gold means 'made of gold', while 'golden' means - 'the color of gold'.",adjective,1, 31 ,1200 Grammer Tests
The car was moving very _______ .,2,fastly,fast,faster,fastful,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective. But some adjectives don't change their form: FAST (adjective) - FAST (adverb)",adverbs,1, 32 ,1200 Grammer Tests
"Rennes is a city, _______________ is situated in France.",3,whom,whose,which,who,"We use 'which' or 'that' for things in relative clauses. But when we already know which thing or person is meant, we can use ONLY 'which', and such relative clauses in these sentences give us extra information about the person or thing. Moreover, we use commas (,) with these clauses. And you cannot leave out 'which' from such relative clauses.",relative clauses,1, 33 ,1200 Grammer Tests
Dave is a student ____ business administration.,4,in,at,for,of,"We should remember that some nouns are used with specific prepositions after them: 'student of' is used when we mean 'a student of a ​particular ​subject, they ​know about it and are ​interested in it'.",noun pluse preposition,1, 34 ,1200 Grammer Tests
I will pay _____ cash.,1,in,for,at,to,"We use 'in' when we mean 'to hand (money, a cheque, etc) to a cashier for depositing in a bank'..",prepositions,1, 35 ,1200 Grammer Tests
I'm fond ____ reading.,2,at,of,with,for,We should remember that some adjectives are used with specific prepositions after them: 'fond of'.,adjective pluse preposition,1, 36 ,1200 Grammer Tests
There are eleven _____ in each football team.,3,manes,man,men,mans,The noun 'man' has the irregular plural form: MAN - MEN,nouns,1, 37 ,1200 Grammer Tests
We don't have ________ milk.,3,some,a few,any,many,We use 'some' in positive sentences and 'any' in negative ones before countable or uncountable nouns. 'Many' and 'a few' are used before plural countable nouns.,"some,any, a lot of , many , much ,etc..",1, 38 ,1200 Grammer Tests
"If I ______ (to be) Kate, I _______ (to study) harder",1,were/would study,would be/would study,were/studied,would be/studied,"When we speak about imaginary situations, which differ from real facts in the present, we use Conditional 2: If-clause (if + Past Simple) - Main Clause (would/could + present without 'to'). The meaning of this sentence: 'in reality Kate does not study hard'. (I am not Kate, and I will not be able to be her).",conditionals,1, 39 ,1200 Grammer Tests
"""Rachel: """"I'm playing the piano now'.""",2,Rachel said that she was playing the piano now.,Rachel said that she was playing the piano then.,Rachel said that she played the piano then.,Rachel said that she had played the piano now.,We change the Present Continuous to the Past Continuous in Reported Speech. Also we change some time expressions: now - then,reported speech,1, 40 ,1200 Grammer Tests
Choose the sentence with the right word order,1,The blue whale is the biggest animal on Earth,Is the biggest animal on Earth the blue whale.,On Earth is the biggest animal blue whale.,The biggest animal on Earth the blue whale is.,"There is a certain word order in statements: Subject - Auxiliary Verb - Object. 'The blue whale' is a subject, 'is' - an auxiliary verb, 'the biggest animal on Earth' - an object.",word order,1, 41 ,1200 Grammer Tests
I saw a bird in the tree. _ bird was grey.,3,a,an,the,—,We use 'the' with all types of nouns when we talk about definite and specific things. 'The' also goes before nouns mentioned for the second time.,articles,1, 42 ,1200 Grammer Tests
Oh no! We are late! They ________ (to go/already) out.,3,already go,are already going,have already gone,already gone,The action in this sentence has been completed recently and we see the result of it in the present. In this case we should use the Present Perfect Tense: has/have + Verb (-ed/Irregular). The adverb 'already' should be placed between the auxiliary verb 'to have' and the verb with -ed or in Past Participle.,present tenses,1, 43 ,1200 Grammer Tests
I was watching TV while the kids __________ (to play) in the garden.,3,played,was playing,were playing,have played,We use the Past Continuous Tense when we talk about two or more simultaneous actions that were going on at a given moment in the past. The plural past form of the irregular verb 'to be' is 'were'.,past tenses,1, 44 ,1200 Grammer Tests
It's a wonderful evening. I really don't think it ____________ (to rain) tomorrow.,4,is going to rain,shall rain,rains,will rain,We often use will ('ll) with '(I) don't think' or '(I) think' for predictions based on our own personal opinion or knowledge: I don't think the exam will be very difficult.,future tenses,1, 45 ,1200 Grammer Tests
Winston Churchill _____________ (to capture) during the Boer war in South Africa in 1899.,2,is captured,was captured,captured,captures,"The Passive voice serves to show that the person or thing denoted by the subject of the sentence is not the agent (the doer) of the action expressed by the predicate verb but the object of this action. The subject of a passive verb does not act but is acted upon it, it undergoes an action. In this sentence the action was completed in the Past: Was/Were + Past Participle.",passive voice,1, 46 ,1200 Grammer Tests
Perhaps Jerry _____________ pass the exam tomorrow.,1,may,must,can,has to,We use 'may' to talk about possible actions or happenings in the future.,modal verbs,1, 47 ,1200 Grammer Tests
Our plane will _____________ (to leave the ground) in 25 minutes.,2,turn up,take off,wake up,get up,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable.The phrasal verb 'take off' has a meaning 'to leave the ground and begin to fly (about aircraft, birds and insects)'.",phrasal verbs,1, 48 ,1200 Grammer Tests
Choose two forms of the verb 'to begin' according to the order: Past Simple - Past Participle,3,begun - began,began - began,began - begun,begun - begun,TO BEGIN — BEGAN — BEGUN,irragular verbs,1, 49 ,1200 Grammer Tests
Whose car is this? - This car is ______ .,4,our's,we,our,ours,"We use possessive pronouns to show that something belongs to somebody. Possessive pronouns replace a possessive adjective and a noun, thus, they are not followed by a noun. 'Ours' is the right form of the personal pronoun 'we'.",pronouns,1, 50 ,1200 Grammer Tests
Sally is _________ than Carol.,2,short,shorter,shortly,the shortest,We use comparative adjectives to compare two people/things. When we use a comparative adjective in front of a noun we add ‘than’. To make a comparative form of short (one syllable) adjectives we add –er.,adjective,1, 51 ,1200 Grammer Tests
Carl has learnt the poem __________ .,1,badly,bad,the worst,bady,"Adverbs describe how, how often, when or where an action happens. They have many forms. Adverbs of manner have a regular form (except well): we add –ly to the adjective.",adverbs,1, 52 ,1200 Grammer Tests
Ferrari is a car ________ I like.,4,who,whose,whom,that,"We use relative pronouns 'which' or 'that' for things in defining relative clauses to describe exactly which or what kind of thing we mean. Here the relative pronoun refers to ‘a car’ (the object), and the subject of the relative clause is ‘I’. When we add information about things, we can use 'that' (or no relative pronoun, because it can be sometimes omitted) as object in conversation and 'which' in more formal contexts.",relative clauses,1, 53 ,1200 Grammer Tests
Mr. Blake is a great example ____ courage.,3,in,at,of,for,We should remember that some nouns are used with specific prepositions after them: 'example of',noun pluse preposition,1, 54 ,1200 Grammer Tests
I've known him _______ five years.,3,ago,from,for,since,"We use ‘for’ (and not ‘since’) with a period of time (20 minutes, two weeks, five years etc.). It is possible to leave out 'for' (but not usually in negative sentences).",prepositions,1, 55 ,1200 Grammer Tests
I'm so tired ___ him.,2,with,of,by,about,We should remember that some adjectives are used with specific prepositions after them. 'Tired of' means'to be fed up with somebody or something,adjective pluse preposition,1, 56 ,1200 Grammer Tests
Can you find three __________ in the picture?,4,sheepies,sheepes,sheeps,sheep,There are a number of nouns in English which form their plural in an irregular way. A few nouns have the same form for the singular and the plural: ONE SHEEP - TWO SHEEP.,nouns,1, 57 ,1200 Grammer Tests
There are _________ students in the class. (formal written English),1,many,much,a lot of,a little,"In everyday English (natural English) English people do not use ‘much’ and ‘many’ in positive sentences, they prefer ‘a lot of’: There are a lot of tourists here in the summer. They usually use ‘much’ and ‘many’ in negative sentences and questions: Are there many students here from Japan? In spoken English and informal writing we tend to use: a lot, a lot of, lots of with countable and uncountable nouns.Example: How many students are there in the classroom? - There are a lot. In formal written English it is also possible (and preferable) to use many and much rather than a lot of, lots of and a lot. Example:There are many students.","some,any, a lot of , many , much ,etc..",1, 58 ,1200 Grammer Tests
"If Carla _______ (to tell) everything, she ______ (not to have) any problems.",2,will tell/hasn't,tells/won't have,tell/hasn't,will tell/won't have,"We use the first conditional to talk about the results of a POSSIBLE future condition, one we think is likely to happen. Conditional sentences usually have two parts.There is 'the if clause' (sometimes called the conditional clause) and 'the result clause' (sometimes called 'the main clause'). The clauses can come in any order. The formula for first conditionals:If clause: if/when + present simpleResult clause: will / 'll + infinitive without to / imperative",conditionals,1, 59 ,1200 Grammer Tests
"""Dexter said: """"I've bought a new car recently"""".""",1,Dexter said that he had bought a new car recently.,Dexter said that he bought a new car recently.,Dexter said that he has bought a new car recently.,Dexter said that he would have bought a new car recently.,We change the Present Perfect to the Past Perfect in Reported Speech.,reported speech,1, 60 ,1200 Grammer Tests
Choose the sentence with the right word order,1,We don't often go to the cinema.,We often don't go to the cinema.,We don't go often to the cinema.,We don't go to the cinema often.,"We usually put the adverbs of frequency BEFORE the main verb, BUT AFTER the verb 'to be', auxiliary verbs (will, have) or modal verbs (can, must, should etc.).",word order,1, 61 ,1200 Grammer Tests
Paris is _ capital of France.,3,a,an,the,—,We use 'the' with all kinds of nouns when we talk about definite and specific things. Here: we know that each country has the only capital.,articles,1, 62 ,1200 Grammer Tests
Sarah _________ (to cook) thirty pancakes today.,4,cook,is cooking,cooks,has cooked,"We can use the present perfect to talk about a past action that has a result in the present. Sarah cooked thirty pancakes earlier, and we are going to eat them now (as a result), or they are on the table and we can see them on the plates.",present tenses,1, 63 ,1200 Grammer Tests
I was writing a letter while my husband _____________ (to cook).,2,cooked,was cooking,cooks,has cooked,"We use the Past Continuous Tense when we talk about two or more simultaneous actions in the past. We use the present continuous for two actions/situations happening at the same time. And we can use either 'when' or 'while' before the past continuous. 'While' means 'during the ​time that', or 'at the same ​time as'.",past tenses,1, 64 ,1200 Grammer Tests
Carol is 15. She already knows what she wants. She __________ a singer.,3,shall become,will become,is going to become,becomes,"If we have a plan, ambition or intention to do something in the future, we use 'be going to’. We do not use 'will' with personal arrangements.BUT: In formal English we usually use 'will', not 'going to', for arrangements.",future tenses,1, 65 ,1200 Grammer Tests
"Cookies ______________ (to make) from milk, eggs and flour.",1,are made,make,made,are make,"We often use the passive voice when we want to talk about an action rather than the person or thing that does the action. In this example we do this because it doesn't matter who does the action. In this example we describe the process that is always true - the recipe of cookies, for the facts that are always true we use the present simple. We make the passive of the present simple with am/is/are + the past participle. In this example the subject is expressed with the noun in the plural form (cookies), that is why we make the passive form of the verb 'make' in the plural: are made.",passive voice,1, 66 ,1200 Grammer Tests
Students ______ listen to the teacher.,4,Could,can,may,must,"The modal verb 'must' has the meaning of obligation (from the speaker's point of view) or of emphatic advice. In different contexts 'must' may acquire additional shades of meaning, such as duty or necessity. In this meaning 'must' is found in affirmative and interrogative sentences and followed only by the simple infinitive.",modal verbs,1, 67 ,1200 Grammer Tests
"Charles, could you _____________ (to wait) for a minute? I need to talk to you.",2,hold in,hold on,hold up,hold at,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'hold on' is informal and it is used to ​tell someone to ​wait for a ​short ​time.",phrasal verbs,1, 68 ,1200 Grammer Tests
Choose two forms of the verb 'to break' according to the order: Past Simple - Past Participle,1,broke - broken,broke - broke,broken - broken,broken - broke,TO BREAK — BROKE — BROKEN,irragular verbs,1, 69 ,1200 Grammer Tests
This is Jane's book. The book is _____ .,3,her,she,hers,her's,"If it is clear who/what we are talking about, we can use possessive pronouns. And we use possessive pronouns instead of a possessive adjective + noun.The corresponding form of the possessive pronoun for the subject pronoun ‘she’ is ‘hers’.",pronouns,1, 70 ,1200 Grammer Tests
I think she is __________________ girl in our school.,3,beautifuller,more beautiful,the most beautiful,the beautifullest,"We use superlative adjectives when we compare one person/one thing with several others. For most adjectives with two or more syllables we use ‘the most’ + adjective for formation of the superlative form. There are some exceptions, e.g. friendly – friendlier / the friendliest, gentle – gentler / the gentlest, funny – funnier / the funniest.",adjective,1, 71 ,1200 Grammer Tests
A car appeared _______________ .,1,suddenly,sudden,more sudden,the most sudden,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 72 ,1200 Grammer Tests
Fred is a person _____________ can speak four languages.,2,which,who,whose,whom,"We introduce a relative clause with a relative pronoun (who, which or that). 'Who' is for a relative clause about people. 'Which' is for a relative clause about animals and things (not people). We can use 'that' for people, animals and things.",relative clauses,1, 73 ,1200 Grammer Tests
I couldn't find an answer ____ your question.,1,to,on,at,for,"The word 'answer' has several meanings, for example, 'a way of solving a problem', 'when someone answers the telephone or the door', 'what you say or write back to someone who has asked ou a question or spoken to you'.When 'the reaction to a question, letter, phone call, etc.' is meant, we should use the preposition 'to' after the noun 'answer': The minister promised to give a written answer to the MP's detailed question.",noun pluse preposition,1, 74 ,1200 Grammer Tests
I go to work ______ car every morning.,4,in,on,at,by,"We use 'by' to talk about a way of travelling: by air, by bike, by boat, by bus, by car, by plane, by rail, by road, by train, by sea, by ship. But we cannot use 'by' if we say 'my car' / 'the train' / 'a taxi' etc. We say: 'by car' but 'in my car' (not 'by my car’), 'by train' but 'on the train' (not 'by the train'). We use 'in' for cars and taxis: They didn't come in their car. They came in a taxi.",prepositions,1, 75 ,1200 Grammer Tests
It was so nice ____ you.,3,from,for,of,about,An adjective 'nice' means 'kind; friendly'. And there are three constructions that contain an adjective NICE with this meaning + a preposition: 1) '(be) nice OF somebody (to do something)' 2) '(be) nice TO somebody' 3) '(be) nice ABOUT something',adjective pluse preposition,1, 76 ,1200 Grammer Tests
Mothers always give us ___________ .,2,many advices,much advice,many advice,much advices,The noun 'advice' is uncountable. Uncountable nouns do not have plural forms.,nouns,1, 77 ,1200 Grammer Tests
There is _________ sugar in my cup of tea.,4,a few,many,any,a lot of,"We use 'many', 'much' and 'a lot of' to talk about a large amount or number. The exact amount or number is not important. We can use 'a lot of' in positive and negative sentences and questions.We usually use 'much' and 'many' in negative sentences and questions. In everyday English, we don't use 'much' and 'many' in positive sentences. 'Much' and 'many' can be used in positive sentences only in a formal context: Much work remains to be done. Many people feel that the law should be changed. And also with adverbs 'too' and 'so' - too many, too much', 'so many', 'so much': There are too many mistakes in this essay.; I've got so many things to do this morning.; I'd love to come, but I've got too much work to do.; We were having so much fun.","some,any, a lot of , many , much ,etc..",1, 78 ,1200 Grammer Tests
"Tim is being very rude. If I _______ (to be) him, I _______ (to say) those things.",1,were/wouldn't say,were/didn't say,would be/wouldn't say,would be/didn't say,"We can use the second conditional for present situations that are imaginary, not possible, but the meaning in this case is present, not past.For the second conditional we use the following formula: CONDITION if + past simple, RESULT would (not) + infinitive without 'to'. We use the short form ''d' and 'wouldn't' in spoken English and in informal written English. We often use the expression 'If I were you, I'd...' to give personal advice. Here: I think Tim should not have said those things. Many people use 'was' instead of 'were' in this expression. Some people think that it is incorrect.",conditionals,1, 79 ,1200 Grammer Tests
"""Charlie said: """"I'll go to the cinema tomorrow"""".""",3,Charlie said that he would go to the cinema tomorrow.,Charlie said that he will go to the cinema the next day.,Charlie said that he would go to the cinema the next day.,Charlie said that he went to the cinema the next day.,"When we repeat another person's words, we can use direct speech or reported speech. When we report another person's words some time after he/she said them, we usually use a past tense verb to introduce them, and we change the tense of the verbs as well. In general, the present form in direct speech changes to the past form in reported speech: e.g. the present form of the auxiliary verb 'will' turns into 'would'.The word 'tomorrow' changes to either 'the next day' or 'the following day'.",reported speech,1, 80 ,1200 Grammer Tests
Choose the sentence with the right word order,1,Scott drives to work every day.,Every day to work Scott drives.,Scott every day drives to work.,Every day drives Scott to work.,"The standard word order in affirmative sentences is the following: SUBJECT + PREDICATE + object + adverbial modifier. Thus, 'Scott' is the subject, 'drives' - the predicate, 'to work' - the object, 'every day' - the adverbial modifier of time (how often). We often use a noun phrase as a time adverbial. Adverbial modifiers are normally placed at the end of the sentence after the object, although adverbial modifiers can be placed at the beginning of the sentence before the subject. Thus, two formulas are possible:1) Subject + Predicate + Object + Adverbial modifier of time OR 2) Adverbial modifier of time + Subject + Predicate + Object.",word order,1, 81 ,1200 Grammer Tests
I see _ three men outside.,4,a,an,the,—,"We do not use an article before cardinal numbers (number words that name a quantity) when the number word functions as a noun. E.g. The customer admired the artist’s paintings enough to buy one.Usually we do not also use articles before the combination 'a cardinal numeral + a noun', as you have in this test.However, a noun modified by a cardinal numeral can be used with the definite article, because this is accounted for by the situation or context. e.g. By candlelight the two men seemed of an age if indeed not of the same family. In this sentence the exact two men are meant due to the context.",articles,1, 82 ,1200 Grammer Tests
The climate _________ (to change) rapidly nowadays.,1,is changing,changes,has changed,is changed,"We use the present continuous to describe things which are in the process of changing, i.e. trends. With this use of the present continuous, we often use time expressions like ‘now’, ‘nowadays’, ‘at the moment’, etc. We form the present continuous with ‘am’, ‘is’ or ‘are’ + the ‘ing’ form of the main verb; e.g. watching, going, eating, smiling etc.",present tenses,1, 83 ,1200 Grammer Tests
I ____________ (to play) the guitar at 9 o'clock yesterday.,4,have played,had played,played,was playing,We use the Past Continuous Tense when we talk about an action which was in progress at a certain time in the past and if we don't mention when it was started or finished.,past tenses,1, 84 ,1200 Grammer Tests
"I'm sorry, but I have no time to do it. I _____________ (to take part) in serious negotiations tomorrow.",2,will take part,am going to take part,take part,shall take part,If we have decided to do something or arranged to do something in the near future we use 'be going to'.,future tenses,1, 85 ,1200 Grammer Tests
Napoleon __________________ (to defeat) in 1815.,2,is defeated,was defeated,defeated,will be defeated,"We often use the passive when we want to talk about an action rather than a person or thing that does or did the action. We do it when we know or can guess who does or did the action. But we are more interested in the action than the person who did it. In the test sentence the definite year is given – in 1815, therefore, we choose the form of the past simple. We make the passive of the past simple with ‘was’ (the singular form of ‘be’) or ‘were’ (the plural form of ‘be’ + the past participle.",passive voice,1, 86 ,1200 Grammer Tests
You look very pale. I think you _________ go to the doctor.,3,can,may,should,might,We use the modal verb 'should' when we give advice or recommend something.,modal verbs,1, 87 ,1200 Grammer Tests
"Excuse me, Bob, I cannot hear you. Could you ________ (to speak louder), please?",1,speak up,speak on,speak above,speak out,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to speak up' has a meaning ‘to speak in a louder voice so that people can hear you’: ‘Could you speak up? We can’t hear at the back’.",phrasal verbs,1, 88 ,1200 Grammer Tests
Choose two forms of the verb 'to choose' according to the order: Past Simple - Past Participle,4,chosen - chosen,chose - chose,chosen - chose,chose - chosen,TO CHOOSE — CHOSE — CHOSEN,irragular verbs,1, 89 ,1200 Grammer Tests
Who are these people? I don't remember ______ .,3,they,their,them,themselves,"We use subject pronouns ‘I’, ‘you’, ‘he’, ‘she’, ‘we’, ‘they’ for people, and we use them before the verb (the predicate) in sentences. The corresponding object pronouns ‘me’, ‘you’, ‘her’, ‘him’, ‘us’ and ‘them’ are used after the verb in sentences. In the test question ‘Who are these people?’ instead of the noun ‘people’ we can use a subject pronoun ‘they’ – ‘Who are they?’, therefore, in the test answer we should use the object pronoun ‘them’ that corresponds with the subject pronoun ‘they’.",pronouns,1, 90 ,1200 Grammer Tests
I think that BMW is a good car. But my brother Joe thinks that AUDI is __________ .,2,good,better,gooder,the best,When we compare two things or two people we use the comparative form of adjectives. The adjective 'good' has an irregular comparative form: GOOD – BETTER: GOOD - BETTER,adjective,1, 91 ,1200 Grammer Tests
Rachel will have an exam soon. She studies very ___________ .,4,the hardest,harder,hardly,hard,"Adverbs describe how, when or where someone does something. There are many types of adverbs: of manner, frequency, time, place or direction. Most adverbs of manner add –ly to the adjective. But there are some irregular adverbs that do not have the –ly form. The adverbs ‘fast’, ‘hard’, ‘high’, ‘long’, ‘low’, ‘near’, ‘late’ and ‘early’ have the same form as adjectives.",adverbs,1, 92 ,1200 Grammer Tests
Washington is a city _________ was founded in 1791.,2,who,which,whose,whom,"We can use relative clauses to make two sentences into one sentence. The relative clause gives us more information about the person or thing in the main clause. We introduce a relative clause with a relative pronoun (which, who or that). ‘Which’ is for a relative clause about animals or things (but NOT people). In the test sentence ‘which’ = the subject of ‘was founded’. It replaces the noun ‘Washington’ in the sentence. We need the relative pronoun when it is a subject, therefore, we cannot leave out the relative pronoun when it is a subject. Defining relative clauses describe exactly which (or what kind) person or thing we mean. In the test example: which city?",relative clauses,1, 93 ,1200 Grammer Tests
He has a great interest ____ science.,1,in,for,at,on,It is possible to use two prepositions after the noun ‘interest’: ‘IN’ and ‘TO’. In the following collocations with the noun ‘interest’ we use the preposition ‘in’: have an interest in sth: Steve has a keen interest in bird-watching. Show interest in sth: He had shown great interest in her work. Express an interest in sth - say that you are interested in something: A number of well-known film directors have expressed interest in the script. Take an interest in sth - be interested in something: Jacky first took an interest in golf when he was about six years old. In the collocation ‘be of (no) interest to somebody’ we use the preposition ‘to’: It is a book that will be of interest to a wide range of readers. In the test sentence we have an example of the collocation ‘have an interest in sth’,noun pluse preposition,1, 94 ,1200 Grammer Tests
