№,Keyword,Suggestion,Short Vietnamese,Keyword_Sound,Image,Transcription,Explanation,Meaning_Sound,Example_Sound,Full Vietnamese,tags,deck
29,laboratory,<div>l__ __ __&nbsp;__ __ __&nbsp;__ __y</div>,phòng thí nghiệm,[sound:4000B1_laboratory.mp3],<img src='4000B1_029.jpg'>,[lə'bɔrət(ə)rɪ],<div>A {{c1::laboratory}} is a room where a scientist works.</div>→ &nbsp;My mother works in a {{c1::laboratory}}.,[sound:4000B1_laboratory_meaning.mp3],[sound:4000B1_laboratory_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>laboratory</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>laboratory /lə'bɔrətəri/ (lab) /læb/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>phòng thí nghiệm; phòng pha chế</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>hot laboratory</i></b></font> <ul> <li><b>phòng thí nghiệm ""nóng"" (nơi tiến hành những cuộc thí nghiệm nguy hiểm có thể chết người)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>buồng lò, buồng luyện (luyện kim)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>language laboratory</i></b></font> <ul> <li><b>phương pháp học ngoại ngữ bằng máy ghi âm và phim ảnh</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
30,laugh,<div>l__ __ __ __</div>,tiếng cười (lớn),[sound:4000B1_laugh.mp3],<img src='4000B1_030.jpg'>,[lɑːf],<div>{{c1::laugh}} is the sound made when someone is happy or a funny thing occurs.</div>→ &nbsp;The sound of their {{c1::laugh}} filled the room.,[sound:4000B1_laugh_meaning.mp3],[sound:4000B1_laugh_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>tiếng cười</b></font> <ul> <li><b>to burst into a laugh</b>: cười phá lên</li> <li><b>to have a good laugh at somebody</b>: được cười ai một trận thoả thích</li> <li><b>to have (get) the laugh of (at, on) somebody; to have (get) the laugh on someone's side</b>: cười lại ai (nghĩa bóng) quật lại thắng thế ai</li> <li><b>to force a laugh</b>: gượng cười</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>cười, cười vui, cười cợt</b></font> <ul> <li><b>to laugh oneself into fits (convulsions)</b>: cười đau cả bụng</li> <li><b>to burst out laughing</b>: cười phá lên</li> <li><b>to laugh a bitter laugh</b>: cười cái cười chua chát</li> <li><b>to laugh oneself helpless</b>: cười phát sặc lên, cười phát ho lên</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh at</i></b></font> <ul> <li><b>cười, cười nhạo, cười coi thường</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh away</i></b></font> <ul> <li><b>cười để xua đuổi, cười để gạt bỏ (cái gì)</b></li></ul></li></ul> <ul> <li><b>to laugh away one's fears and anxiety</b>: cười để xua đuổi những nỗi lo âu sợ hãi</li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh down</i></b></font> <ul> <li><b>cười át đi</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh off</i></b></font> <ul> <li><b>cười mà tránh đi (khó khăn...), cười xoà</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh over</i></b></font> <ul> <li><b>cười khi xem xét, cười khi thảo luận (vấn đề gì)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh in someone's face</i></b></font> <ul> <li><b>cười vào mặt ai, chế diễu ai, chế nhạo ai</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh in one's sleeve</i></b></font> <ul> <li><b>cười thầm</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh on the other side (corner) of the mouth</i></b></font> <ul> <li><font color=""#cc0000""><b><i>to laugh on the wrong side of one's mouth (face)</i></b></font> <ul> <li><b>đang vui trở nên buồn, đang cười lại mếu</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh somebody out of court</i></b></font> <ul> <li><b>bêu rếu ai để mọi người cười làm cho toà không còn nghe được người người ấy khai nữa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to laugh somebody out of some habit</i></b></font> <ul> <li><b>cười người nào để cho bỏ một thói gì đi</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>he laughs best who laughts last</i></b></font> <ul> <li><b>(tục ngữ) cười người chớ khá cười lâu, cười người hôm trước hôm sau người cười</b></li></ul></li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 02
31,loud,<div>l__ __ __</div>,"to, ầm ĩ",[sound:4000B1_loud.mp3],<img src='4000B1_031.jpg'>,[laud],"<div>If a sound is {{c1::loud}}, it is strong and very easy to hear.</div>→ &nbsp;The man's voice was so {{c1::loud}} that we all could hear him.",[sound:4000B1_loud_meaning.mp3],[sound:4000B1_loud_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>loud</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>loud /laud/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>to, ầm ĩ, inh ỏi (tiếng)</b></font> <ul> <li><b>a loud cry</b>: một tiếng kêu to</li> <li><b>a loud report</b>: một tiếng nổ lớn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>nhiệt liệt, kịch liệt</b></font> <ul> <li><b>to be loud in the prise of somebody</b>: nhiệt liệt ca ngợi ai</li> <li><b>a loud protest</b>: sự phản kháng kịch liệt</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sặc sỡ, loè loẹt (mài sắc)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>thích ồn ào, thích nói to (người)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>to, lớn (nói)</b></font> <ul> <li><b>don't talk so loud</b>: đừng nói to thế</li> <li><b>to laugh loud and long</b>: cười to và lâu</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
32,nervous,n__ __ __ __ __s,căng thẳng,[sound:4000B1_nervous.mp3],<img src='4000B1_032.jpg'>,['nɜːvəs],"<div>When a person is {{c1::nervous}}, they think something bad will happen.</div>→ &nbsp;The boy became {{c1::nervous}} when he heard the news.",[sound:4000B1_nervous_meaning.mp3],[sound:4000B1_nervous_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>nervous /'nə:vəs/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>(thuộc) thần kinh</b></font> <ul> <li><b>the nervous system</b>: hệ thần kinh</li> <li><b>nervous breakdown (debility, depression, exhaustion, prostraction)</b>: sự suy nhược thần kinh</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>căng thẳng; nóng nảy, bực dọc; hay hoảng sợ; hay lo lắng, hay bồn chồn</b></font> <ul> <li><b>most of the children are nervous in the dark</b>: hầu hết trẻ con thường hoảng sợ trong bóng tối</li> <li><b>to feel nervous about something</b>: cảm thấy bồn chồn lo lắng về việc gì</li> <li><b>nervous temperament</b>: tính nóng nảy</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>có dũng khí, có khí lực, mạnh mẽ</b></font> <ul> <li><b>a man full of nervous energy</b>: một người đầy nghị lực cương cường</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(văn học) hùng mạnh; cô đọng, khúc chiết</b></font> <ul> <li><b>nervous style</b>: văn hùng mạnh; văn cô đọng khúc chiết</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
33,noise,n__ __ __ __,tiếng ồn,[sound:4000B1_noise.mp3],<img src='4000B1_033.jpg'>,[nɔɪz],<div>A {{c1::noise}} is an unpleasant sound.</div>→ &nbsp;The crying baby made a loud {{c1::noise}}.,[sound:4000B1_noise_meaning.mp3],[sound:4000B1_noise_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>tiếng; tiếng ồn ào, tiếng om sòm, tiếng huyên náo</b></font> <ul> <li><b>to make a noise</b>: làm ồn</li> <li><b>to make a noise in the world</b>: nổi tiếng trên thế giới, được thiên hạ nói đến nhiều</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>loan (tin), đồn</b></font> <ul> <li><b>it was noised abroad that</b>: có tin đồn rằng</li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 02
34,project,p__ __ __ __t,"dự án, công trình",[sound:4000B1_project.mp3],<img src='4000B1_034.jpg'>,['prɔʤekt],<div>A {{c1::project}} is a type of work that you do for school or a job.</div>→ &nbsp;His afternoon work {{c1::project}} was to paint the room green.,[sound:4000B1_project_meaning.mp3],[sound:4000B1_project_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>project</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>project /project/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>kế hoạch, đề án, dự án</b></font> <ul> <li><b>a new project for the development of agriculture</b>: một bản dự án mới về phát triển nông nghiệp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>công trình (nghiên cứu)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>công cuộc lớn (đòi hỏi nhiều tiền, thiết bị, nhân lực)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>phóng; chiếu ra</b></font> <ul> <li><b>to project a missile</b>: phóng một tên lửa</li> <li><b>to project a beam of light</b>: chiếu ra một chùm sáng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(toán học) chiếu</b></font> <ul> <li><b>to project a line</b>: chiếu một đường thẳng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đặt kế hoạch, thảo kế hoạch, làm đề án</b></font> <ul> <li><b>to project a new water conservancy works</b>: đặt kế hoạch cho một công trình thuỷ lợi mới</li> <li><b>to project oneself</b>: hướng ý nghĩ (về tương lai...); hướng tâm trí (vào cái gì...)</li> <li><b>to project oneself into somebody's feeling</b>: đặt mình vào tâm trạng của ai</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>nhô ra, lồi ra</b></font> <ul> <li><b>a strip of land projects into the sea</b>: một dải đất nhô ra biển</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) diễn đạt rõ ý, diễn xuất rõ ý (làm cho người nghe, người xem nắm được ý mình)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
35,scare,s__ __ __ __,"Dọa,&nbsp;làm sợ hãi",[sound:4000B1_scare.mp3],<img src='4000B1_035.jpg'>,[skeə],<div>To {{c1::scare}} someone is to make them feel afraid.</div>→ &nbsp;My uncle was {{c1::scare}}d by what he saw in the room.,[sound:4000B1_scare_meaning.mp3],[sound:4000B1_scare_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>scare /skeə/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự sợ hãi, sự kinh hoàng, sự hoang mang lo sợ (chiến tranh xảy ra...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>sự mua vội vì hốt hoảng, sự bán chạy vì hốt hoảng hoang mang</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>làm kinh hãi, làm sợ hãi, doạ (ngáo ộp)</b></font> <ul> <li><b>scared face</b>: mặt tỏ vẻ sợ hãi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to scare away</i></b></font> <ul> <li><font color=""#cc0000""><b><i>to scare off</i></b></font> <ul> <li><b>xua đuổi</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to scare up</i></b></font> <ul> <li><b>(từ Mỹ,nghĩa Mỹ), (thông tục) vất vả mới thu được</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>làm ra nhanh; thu lượm nhanh</b></font></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
36,secret,s__ __ __ __t,bí mật,[sound:4000B1_secret.mp3],<img src='4000B1_036.jpg'>,['siːkrət],<div>A {{c1::secret}} is something that you do not tell other people.</div>→ &nbsp;The two boys were sharing a {{c1::secret}}.,[sound:4000B1_secret_meaning.mp3],[sound:4000B1_secret_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>secret /'si:krit/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>kín đáo, thầm kín, bí mật; riêng tư</b></font> <ul> <li><b>secret treaty</b>: một hiệp ước bí mật</li> <li><b>this news must be kept secret</b>: tin này phải giữ bí mật</li> <li><b>the secret parts</b>: chỗ kín (bộ phận sinh dục)</li> <li><b>secret society</b>: hội kín</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>kín mồm kín miệng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>khuất nẻo, cách biệt (nơi chốn...)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>điều bí mật</b></font> <ul> <li><b>to keep a (the) secret</b>: giữ một điều bí mật</li> <li><b>an open secret</b>: điều bí mật ai cũng biết</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự huyền bí</b></font> <ul> <li><b>the secrets of nature</b>: sự huyền bí của tạo hoá</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>bí quyết</b></font> <ul> <li><b>the secret of health is temperature</b>: bí quyết của sức khoẻ là điều độ</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(số nhiều) chỗ kín (bộ phận sinh dục)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to be in the secret</i></b></font> <ul> <li><b>là người được biết điều bí mật</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
37,shout,sh__ __ __,"quát tháo,&nbsp;la hét",[sound:4000B1_shout.mp3],<img src='4000B1_037.jpg'>,[ʃaut],<div>To {{c1::shout}} is to say something loudly.</div>→ &nbsp;My boss {{c1::shout}}ed at me because I was late for work.,[sound:4000B1_shout_meaning.mp3],[sound:4000B1_shout_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>tiếng kêu; sự la hét, sự hò hét</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ lóng) chầu khao</b></font> <ul> <li><b>it is my shout</b>: đến chầu tớ khao, đến lượt tớ làm đầu tàu</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>la hét, hò hét, reo hò</b></font> <ul> <li><b>to shout at the top of one's voice</b>: gân cổ lên mà hét</li> <li><b>to shout for joy</b>: reo hò vui sướng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>quát tháo, thét</b></font> <ul> <li><b>don't shout at me</b>: đừng quát tôi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(từ lóng) khao, thết</b></font> <ul> <li><b>to shout someone a drink</b>: khao ai chầu rượu, thết ai chầu rượu</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to shout down</i></b></font> <ul> <li><b>la phản đối, la thét buột (một diễn giả) phải thôi nói</b></li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 02
38,smell,"sm__ __ __,<div>sm__ __ __ __d</div>","ngửi,&nbsp;đánh hơi",[sound:4000B1_smell.mp3],<img src='4000B1_038.jpg'>,[smel],<div>To {{c1::smell}} something means to use your nose to sense it.</div>→ &nbsp;The two friends {{c1::smelled}} the flower.,[sound:4000B1_smell_meaning.mp3],[sound:4000B1_smell_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>smell /smel/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>khứu giác</b></font> <ul> <li><b>a fine sense of smell</b>: mũi thính</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự ngửi, sự hít</b></font> <ul> <li><b>to have a smell at something</b>: ngửi cái gì</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>mùi</b></font> <ul> <li><b>the smell of roses</b>: mùi hoa hồng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>mùi thối, mùi ôi</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ smelt, (từ hiếm,nghĩa hiếm) smelled</i></b> <ul> <li><font color=""#cc0000""><b>ngửi, ngửi thấy, thấy mùi</b></font> <ul> <li><b>I am sure I smell gas</b>: tôi cam đoan có mùi hơi đốt</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cảm thấy, đoán được</b></font> <ul> <li><b>do you smell anything unusual?</b>: anh có cảm thấy có điều gì không bình thường không?</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đánh hơi tìm ra, đánh hơi tìm; (bóng) khám phá, phát hiện</b></font> <ul> <li><b>to smell out a plot</b>: khám phá ra một âm mưu</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>có mùi, toả mùi</b></font> <ul> <li><b>these flowers smell sweet</b>: những hoa này có mùi thơm dịu</li> <li><b>to smell of garlic</b>: có nùi tỏi</li> <li><b>this milk smells sour</b>: sữa này có mùi chua</li> <li><b>to smell of jobberyd</b>: sặc mùi xoay xở</li> <li><b>his talk smells of war</b>: bài nói của hắn sặc mùi chiến tranh</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to smell about</i></b></font> <ul> <li><b>đánh hơi</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>quen hơi (quen với một mùi gì)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to smell up</i></b></font> <ul> <li><b>sặc mùi thối, sặc mùi ôi; làm nồng nặc mùi hôi thối</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to smell of the lamp</i></b></font> <ul> <li><b>(xem) lamp</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to smell of the shop</i></b></font> <ul> <li><b>quá nặng tính chất chuyên môn, quá nặng tính chất kỹ thuật</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to smell a rat</i></b></font> <ul> <li><b>(nghĩa bóng) cảm thấy có âm mưu, nghi có sự dối trá</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
39,terrible,t__ __ __ __ __ __e,"tồi tệ, ghê gớm, khủng khiếp",[sound:4000B1_terrible.mp3],<img src='4000B1_039.jpg'>,['terəbl],"<div>If something is {{c1::terrible}}, it is very bad.</div>→ &nbsp;The way he treated his classmate was {{c1::terrible}}.",[sound:4000B1_terrible_meaning.mp3],[sound:4000B1_terrible_example.mp3],"<strong><em>tính từ</em></strong> <ul> <li><font color=""#cc0000""><b>dễ sợ, ghê gớm, khủng khiếp</b></font> <ul> <li><b>a terrible death</b>: cái chết khủng khiếp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thông tục) quá chừng, thậm tệ</b></font> <ul> <li><b>a terrible gossip</b>: người hay ngồi lê đôi mách quá chừng</li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 02
40,worse,w__ __ __ __,"xấu hơn, tồi hơn",[sound:4000B1_worse.mp3],<img src='4000B1_040.jpg'>,[wɜːs],"<div>If something is {{c1::worse}}, it is of poorer quality than another thing.&nbsp;</div>→ &nbsp;Business was {{c1::worse}} this month than last month.",[sound:4000B1_worse_meaning.mp3],[sound:4000B1_worse_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>worse</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>worse /wə:s/</i><br /> <ul> <li><b><i>tính từ (cấp so sánh của bad)</i></b> <ul> <li><font color=""#cc0000""><b>xấu hơn, tồi hơn, dở hơn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>ác hơn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>nguy hiểm hơn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(vị ngữ) nặng hơn, trầm trọng hơn, nguy kịch hơn (bệnh, hoàn cảnh)</b></font> <ul> <li><b>the doctor says he is worse today</b>: bác sĩ nói bệnh anh ta hôm nay nặng hơn</li> <li><b>to have the worse ground</b>: ở địa vị xấu hơn, ở trong điều kiện xấu hơn</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>phó từ (cấp so sánh của badly)</i></b> <ul> <li><font color=""#cc0000""><b>xấu hơn, kém hơn</b></font> <ul> <li><b>he has been taken worse</b>: bệnh tình anh ta trở nên xấu hơn (nặng hơn)</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tệ hơn, mạnh hơn, quá quắt hơn</b></font> <ul> <li><b>it's raining worse than ever</b>: mưa chưa bao giờ dữ như thế này</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>none the worse</i></b></font> <ul> <li><b>không kém</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>worse off</i></b></font> <ul> <li><b>lâm vào hoàn cảnh xấu hơn; sa sút</b></li></ul></li></ul></li></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>cái xấu hơn, cái tệ hơn, cái tồi hơn</b></font> <ul> <li><b>there was worse to come</b>: còn có những cái xấu hơn sẽ đến</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tình trạng xấu hơn, chiều hướng xấu hơn</b></font> <ul> <li><b>a change for the worse</b>: sự thay đổi xấu đi</li> <li><b>to go from bad to worse</b>: ngày càng xấu hơn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(the worse) sự thua cuộc</b></font> <ul> <li><b>to have the worse</b>: bị thua</li> <li><b>to put to the worse</b>: thắng</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 02
41,alien,a__ __ __n,Người ngoài hành tinh,[sound:4000B1_alien.mp3],<img src='4000B1_041.jpg'>,['eɪlɪən],<div>An {{c1::alien}} is a creature from a different world.</div>→ &nbsp;The {{c1::alien}} came in peace.,[sound:4000B1_alien_meaning.mp3],[sound:4000B1_alien_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>alien /'eiljən/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>(thuộc) nước ngoài, (thuộc) chủng tộc khác</b></font> <ul> <li><b>alien customs</b>: những phong tục nước ngoài</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>alien from, to lạ, xa lạ, khác biệt; không có quan hệ gì với; không phải của mình</b></font> <ul> <li><b>their way of thingking is alien from ours</b>: cách suy nghĩ của họ khác với suy nghĩ của chúng ta</li> <li><b>that question is alien to our subject</b>: câu hỏi đó không có quan hệ gì với vấn đề của chúng ta</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>alien to trái với, ngược với</b></font> <ul> <li><b>it's alien to my throughts</b>: cái đó trái với những ý nghĩ của tôi</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>người xa lạ; người không cùng chủng tộc, người khác họ</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>người nước ngoài, ngoại kiều</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>người bị thải ra khỏi..., người bị khai trừ ra khỏi...</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>(thơ ca) làm cho giận ghét; làm cho xa lánh ra</b></font> <ul> <li><b>to alien someone from his friends</b>: làm cho bạn bè xa lánh ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(pháp lý) chuyển nhượng (tài sản...)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
42,among,am__ __ __,"giữa, ở giữa",[sound:4000B1_among.mp3],<img src='4000B1_042.jpg'>,[ə'mʌŋ],"<div>If you are {{c1::among}} certain things, they are all around you.</div>→ &nbsp;There was a red apple {{c1::among}} green ones.",[sound:4000B1_among_meaning.mp3],[sound:4000B1_among_example.mp3],"<li><b><i>giới từ</i></b> <ul> <li><font color=""#cc0000""><b>giữa, ở giữa</b></font> <ul> <li><b>among the crowd</b>: ở giữa đám đông</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>trong số</b></font> <ul> <li><b>among the guests were...</b>: trong số khách mời có...</li></ul></li></ul></li>",,4000 Essential English Words - Book 1::Unit 03
43,chart,ch__ __ __,"biểu đồ,&nbsp;đồ thị",[sound:4000B1_chart.mp3],<img src='4000B1_043.jpg'>,[ʧɑːt],<div>A {{c1::chart}} is a list of information.</div>→ &nbsp;We used a {{c1::chart}} to see how we had improved.,[sound:4000B1_chart_meaning.mp3],[sound:4000B1_chart_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>(hàng hải) bản đồ đi biển, hải đồ</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bản đồ</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>đồ thị, biểu đồ</b></font> <ul> <li><b>a weather chart</b>: đồ thị thời tiết</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>vẽ hải đồ; ghi vào hải đồ</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>vẽ đồ thị, lập biểu đồ</b></font></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 03
